1 f  =   93.631967 THz   588.307000 2PiTHz 3123.226143 cm-1   387.230829 meV
2 f  =   91.141073 THz   572.656251 2PiTHz 3040.138863 cm-1   376.929315 meV
3 f  =   90.154521 THz   566.457562 2PiTHz 3007.231031 cm-1   372.849263 meV
4 f  =   60.656579 THz   381.116525 2PiTHz 2023.285621 cm-1   250.855536 meV
5 f  =   45.895950 THz   288.372756 2PiTHz 1530.924044 cm-1   189.810458 meV
6 f  =   40.822596 THz   256.495934 2PiTHz 1361.695180 cm-1   168.828746 meV
7 f  =   36.814493 THz   231.312282 2PiTHz 1227.999271 cm-1   152.252560 meV
8 f  =   29.560661 THz   185.735114 2PiTHz  986.037499 cm-1   122.253113 meV
9 f  =   28.817102 THz   181.063191 2PiTHz  961.235022 cm-1   119.177996 meV
10 f  =   26.442862 THz   166.145400 2PiTHz  882.038894 cm-1   109.358925 meV
11 f  =   17.329874 THz   108.886812 2PiTHz  578.062368 cm-1    71.670625 meV
12 f  =   14.635264 THz    91.956076 2PiTHz  488.179846 cm-1    60.526609 meV
13 f  =   13.279373 THz    83.436763 2PiTHz  442.952198 cm-1    54.919093 meV
14 f  =    7.541940 THz    47.387406 2PiTHz  251.572026 cm-1    31.190967 meV
15 f  =    3.238402 THz    20.347479 2PiTHz  108.021456 cm-1    13.392958 meV
16 f  =    2.197095 THz    13.804754 2PiTHz   73.287192 cm-1     9.086457 meV
17 f  =    1.819327 THz    11.431172 2PiTHz   60.686230 cm-1     7.524136 meV
18 f/i=   20.903802 THz   131.342462 2PiTHz  697.275763 cm-1    86.451208 meV
Zero Point Energy: 1.21 eV
